,(% of,total PS),(% of,total PS)
Species,Mean,s.e.m. (n=3),Mean,s.e.m. (n=7)
PS 16:0-18:0,3.85,0.77,3.54,0.63
PS 16:0-18:1,0.81,0.16,10.62,1.41
PS 16:0-18:2,0.00,0.00,4.56,0.89
PS 16:0-20:1,0.00,0.00,0.19,0.16
PS 16:0-22:4,0.15,0.10,0.00,0.00
PS 16:0-22:5,0.00,0.00,0.03,0.03
PS 16:0-22:6,0.00,0.00,0.39,0.30
PS 18:0-18:1,9.44,0.69,14.96,0.93
PS 18:0-18:2,2.85,0.12,9.26,0.51
PS 18:0-20:3,6.60,0.37,4.83,0.69
PS 18:0-20:4,63.11,1.97,32.72,2.45
PS 18:0-22:4,8.58,0.76,4.66,0.86
PS 18:1/18:1,0.79,0.07,5.83,1.02
PS 18:1-18:2,0.16,0.03,3.41,0.63
PS 18:1-20:3,0.40,0.11,0.50,0.19
PS 18:1-20:4,3.86,1.02,3.80,0.39
PS 18:1-22:4,0.29,0.15,0.00,0.00
PS 18:2/18:2,0.00,0.00,0.24,0.12