	mean_Ring 	mean_Trophozoite 	mean_Schizont 	reaction
CE 16:0	-3.046666666666667	0.20999999999999996	-2.8633333333333333	p
CE 16:1	-2.04	-1.5933333333333335	-3.1033333333333335	p
CE 18:1	-6.953333333333332	-5.319999999999999	-11.016666666666666	p
CE 18:2	-24.6	-18.793333333333333	-36.31333333333333	p
CE 18:3	-4.283333333333333	-2.8433333333333333	-5.7	p
CE 20:4	-3.546666666666667	-2.603333333333333	-5.033333333333333	p
CE 20:5	-0.4033333333333333	-0.4033333333333333	-0.4033333333333333	p
DAG (32:0) 16:0_16:0	0.0	27.79555555555557	37.14666666666667	p
DAG (34:0) 16:0_18:0	0.0	10.623333333333333	11.19	p
DAG (34:1) 16:0_18:1	0.0	25.46666666666667	124.12	p
DAG (36:1) 18:0_18:1	0.0	19.46666666666667	55.333333333333336	p
DAG (36:2) 18:1_18:1	12.236666666666663	40.599999999999994	102.04000000000002	p
DHSM 16:0	-0.11666666666666647	0.5055555555555568	0.5500000000000002	p
DHSM 17:0	-0.10333333333333333	0.020000000000000004	0.04666666666666666	p
DHSM 18:0	-0.17	0.31999999999999995	1.5066666666666668	p
DHSM 19:0	0.0	0.0	0.03	p
DHSM 20:0	0.0	0.0	0.21333333333333335	p
DHSM 22:0	-0.09999999999999999	-0.03	0.04000000000000002	p
DHSM 24:0	-0.049999999999999996	0.03333333333333333	-0.029999999999999995	p
DHSM 25:0	-0.07333333333333333	0.17666666666666667	0.14333333333333334	p
PC (32:0) 14:0_18:0	4.365	35.26777777777779	66.42833333333334	p
PC (32:0) 16:0_16:0	4.365	35.26777777777779	66.42833333333334	p
PC (32:1) 14:0_18:1	0.30666666666666664	3.4903703703703663	16.222222222222225	p
PC (32:1) 14:1_18:0	0.30666666666666664	3.4903703703703663	16.222222222222225	p
PC (32:1) 16:1_16:0	0.30666666666666664	3.4903703703703663	16.222222222222225	p
PC (34:0) 14:0_20:0	0.8283333333333334	17.10666666666667	22.59	p
PC (34:0) 16:0_18:0	0.8283333333333334	17.10666666666667	22.59	p
PC (34:1) 14:0_20:1	11.183333333333334	45.51777777777775	142.37916666666666	p
PC (34:1) 14:1_20:0	11.183333333333334	45.51777777777775	142.37916666666666	p
PC (34:1) 16:0_18:1	11.183333333333334	45.51777777777775	142.37916666666666	p
PC (34:1) 16:1_18:0	11.183333333333334	45.51777777777775	142.37916666666666	p
PC (34:2) 14:1_20:1		23.83055555555555	69.08000000000001	p
PC (34:2) 16:1_18:1		23.83055555555555	69.08000000000001	p
PC (36:0) 16:0_20:0		4.922777777777782	4.393333333333334	p
PC (36:0) 18:0_18:0		4.922777777777782	4.393333333333334	p
PC (36:1) 16:0_20:1	2.4777777777777783	28.11777777777778	63.388888888888886	p
PC (36:1) 16:1_20:0	2.4777777777777783	28.11777777777778	63.388888888888886	p
PC (36:1) 18:1_18:0	2.4777777777777783	28.11777777777778	63.388888888888886	p
PC (36:2) 16:1_20:1	0.9400000000000004	25.741666666666667	59.243333333333325	p
PC (36:2) 18:1_18:1	0.9400000000000004	25.741666666666667	59.243333333333325	p
PC (O-32:0) 14:0_18:0	0.049999999999999996	2.554444444444445	4.614999999999999	p
PC (O-32:0) 16:0_16:0	0.049999999999999996	2.554444444444445	4.614999999999999	p
PC (O-34:1) 14:0_20:1	0.05249999999999999	1.7922222222222224	7.661666666666666	p
PC (O-34:1) 14:1_20:0	0.05249999999999999	1.7922222222222224	7.661666666666666	p
PC (O-34:1) 16:0_18:1	0.05249999999999999	1.7922222222222224	7.661666666666666	p
PC (O-34:1) 16:1_18:0	0.05249999999999999	1.7922222222222224	7.661666666666666	p
PC (O-36:2) 16:1_20:1		1.3166666666666669	5.6499999999999995	p
PC (O-36:2) 18:1_18:1		1.3166666666666669	5.6499999999999995	p
PC 34:3	1.4566666666666668	7.278888888888891	31.26	T
PC 36:3	1.9166666666666679	21.66444444444443	57.17999999999999	T
PC 36:4	1.873333333333333	23.415555555555564	47.03333333333333	T
PC 36:5	0.2833333333333332	5.895555555555557	13.476666666666668	T
PC 38:3	0.5666666666666665	6.80888888888889	11.919999999999998	T
PC 38:4	0.09999999999999876	15.558888888888898	26.363333333333333	T
PC 38:5	4.326666666666668	20.587777777777767	37.593333333333334	T
PC 38:6	-0.6900000000000004	7.263333333333331	12.39333333333333	T
PC 38:7	0.03333333333333344	-0.20333333333333314	2.5933333333333337	T
PC 40:4	0.0	0.3066666666666667	1.1033333333333333	T
PC 40:5	0.6433333333333333	8.85	11.11	T
PC 40:6	-0.12999999999999995	4.06	10.64	T
PC 40:7	0.42000000000000004	1.7966666666666666	4.343333333333333	T
PC O-38:4	-0.11666666666666659	0.3433333333333333	4.153333333333334	T
PC O-38:5	0.0	0.59	2.0733333333333333	T
PE (34:1) 14:0_20:1	6.395	24.439722222222247	42.11666666666666	p
PE (34:1) 14:1_20:0	6.395	24.439722222222247	42.11666666666666	p
PE (34:1) 16:0_18:1	6.395	24.439722222222247	42.11666666666666	p
PE (34:1) 16:1_18:0	6.395	24.439722222222247	42.11666666666666	p
PE (34:2) 14:1_20:1	4.6433333333333335	25.72833333333333	47.23666666666666	p
PE (34:2) 16:1_18:1	4.6433333333333335	25.72833333333333	47.23666666666666	p
PE (36:1) 16:0_20:1	3.2688888888888887	5.792592592592588	23.22	p
PE (36:1) 16:1_20:0	3.2688888888888887	5.792592592592588	23.22	p
PE (36:1) 18:1_18:0	3.2688888888888887	5.792592592592588	23.22	p
PE (36:2) 16:1_20:1	4.450000000000001	10.141666666666666	31.519999999999992	p
PE (36:2) 18:1_18:1	4.450000000000001	10.141666666666666	31.519999999999992	p
PE 36:3	5.973333333333334	22.53	45.05666666666666	T
PE 36:4	8.686666666666666	40.507777777777775	49.633333333333326	T
PE 36:5	0.0	10.646666666666667	15.899999999999999	T
PE 38:3	0.0	0.0	2.5433333333333334	T
PE 38:4	6.24	20.39444444444444	30.68	T
PE 38:5	1.3733333333333322	27.316666666666663	34.81666666666667	T
PE 38:6	0.0	8.103333333333333	11.93	T
PE 40:5	0.0	5.46	12.446666666666667	T
PE 40:6	0.0	3.1199999999999997	8.950000000000001	T
PG (34:1) 16:0_18:1	2.6333333333333333	14.5	39.12666666666667	p
PG (34:2) 16:0_18:2	0.0	0.8300000000000001	9.306666666666667	T
PG (36:1) 18:0_18:1	0.0	6.713333333333334	17.676666666666666	p
PG (36:2) 18:0_18:2	0.0	0.5333333333333333	4.95	T
PG (36:2) 18:1_18:1	0.0	7.293333333333333	21.843333333333334	p
PG (36:3) 18:1_18:2	0.0	2.236666666666667	8.26	T
PS (34:1) 14:0_20:1		2.24	1.6908333333333332	p
PS (34:1) 14:1_20:0		2.24	1.6908333333333332	p
PS (34:1) 16:0_18:1		2.24	1.6908333333333332	p
PS (34:1) 16:1_18:0		2.24	1.6908333333333332	p
PS (36:1) 16:0_20:1	1.22	11.129259259259255	16.720000000000002	p
PS (36:1) 16:1_20:0	1.22	11.129259259259255	16.720000000000002	p
PS (36:1) 18:1_18:0	1.22	11.129259259259255	16.720000000000002	p
PS (36:2) 16:1_20:1	0.935	7.273333333333333	12.991666666666667	p
PS (36:2) 18:1_18:1	0.935	7.273333333333333	12.991666666666667	p
PS 38:4	-4.510000000000002	15.243333333333332	13.590000000000003	T
PS 38:5	0.0	3.266666666666667	0.0	T
PS 40:5	0.0	6.516666666666667	2.7533333333333334	T
PS 40:6	1.5033333333333332	9.03	8.226666666666667	T
SM 14:0	-1.1733333333333336	-0.32222222222222374	-0.8433333333333335	p
SM 15:0	-0.44999999999999996	0.02111111111110997	-0.25	p
SM 16:0	-8.696666666666669	4.4388888888888935	-1.9366666666666674	p
SM 16:1	-0.8699999999999999	-0.09777777777777663	-0.54	p
SM 17:0	-0.5199999999999999	0.13000000000000012	-0.033333333333333215	p
SM 18:0	-2.1733333333333333	-0.6000000000000005	-1.3966666666666674	p
SM 18:1	-0.9066666666666667	-0.12222222222222356	-0.4666666666666668	p
SM 19:0	-0.3633333333333333	-0.19333333333333327	-0.11666666666666661	p
SM 20:0	-0.7900000000000003	-0.31333333333333324	-0.6000000000000001	p
SM 20:1	-0.7766666666666668	-0.1688888888888901	-0.15666666666666684	p
SM 21:0	-0.65	-0.08666666666666667	-0.24333333333333335	p
SM 22:0	-3.0633333333333335	0.06222222222223195	-1.3533333333333335	p
SM 22:1	-1.4466666666666672	-0.4722222222222241	-0.9700000000000002	p
SM 22:2	-0.37666666666666665	-0.1733333333333333	-0.17666666666666667	p
SM 23:0	-0.5766666666666669	0.38000000000000034	-0.023333333333333428	p
SM 23:1	-0.3833333333333335	-0.0677777777777766	-0.48	p
SM 24:0	-6.079999999999998	5.2788888888889005	-0.7699999999999996	p
SM 24:1	-6.913333333333334	5.737777777777765	-1.9866666666666646	p
SM 24:2	-1.626666666666666	2.3222222222222335	0.5566666666666675	p
SM 24:3	-0.5166666666666667	0.1266666666666667	0.016666666666666607	p
SM 25:0	0.006666666666666599	0.38	0.18333333333333324	p
SM 25:1	-0.4666666666666667	0.14888888888888996	-0.043333333333333335	p
SM 26:0	-0.29000000000000004	0.21333333333333337	-0.1433333333333333	p
SM 26:1	-0.27333333333333365	0.4111111111111099	0.22999999999999976	p
SM 26:2	-0.31	0.4322222222222235	0.2833333333333333	p
TAG (48:0) 14:0_14:0_20:0	0.3622222222222222		1.4222222222222223	p
TAG (48:0) 14:0_16:0_18:0	0.3622222222222222		1.4222222222222223	p
TAG (48:0) 16:0_16:0_16:0	0.3622222222222222		1.4222222222222223	p
TAG (50:0) 14:0_16:0_20:0			0.4088888888888889	p
TAG (50:0) 14:0_18:0_18:0			0.4088888888888889	p
TAG (50:0) 16:0_16:0_18:0			0.4088888888888889	p
TAG (50:1) 14:0_16:0_20:1		0.26142857142857145	4.745238095238094	p
TAG (50:1) 14:0_16:1_20:0		0.26142857142857145	4.745238095238094	p
TAG (50:1) 14:0_18:0_18:1		0.26142857142857145	4.745238095238094	p
TAG (50:1) 14:1_16:0_20:0		0.26142857142857145	4.745238095238094	p
TAG (50:1) 14:1_18:0_18:0		0.26142857142857145	4.745238095238094	p
TAG (50:1) 16:0_16:0_18:1		0.26142857142857145	4.745238095238094	p
TAG (50:1) 16:0_16:1_18:0		0.26142857142857145	4.745238095238094	p
TAG (50:2) 14:0_16:1_20:1			1.9990476190476192	p
TAG (50:2) 14:0_18:1_18:1			1.9990476190476192	p
TAG (50:2) 14:1_16:0_20:1			1.9990476190476192	p
TAG (50:2) 14:1_16:1_20:0			1.9990476190476192	p
TAG (50:2) 14:1_18:1_18:0			1.9990476190476192	p
TAG (50:2) 16:0_16:1_18:1			1.9990476190476192	p
TAG (50:2) 16:1_16:1_18:0			1.9990476190476192	p
TAG (52:1) 14:0_18:0_20:1			3.532857142857143	p
TAG (52:1) 14:0_18:1_20:0			3.532857142857143	p
TAG (52:1) 14:1_18:0_20:0			3.532857142857143	p
TAG (52:1) 16:0_16:0_20:1			3.532857142857143	p
TAG (52:1) 16:0_16:1_20:0			3.532857142857143	p
TAG (52:1) 16:0_18:0_18:1			3.532857142857143	p
TAG (52:1) 16:1_18:0_18:0			3.532857142857143	p
TAG (52:2) 14:0_18:1_20:1		0.10142857142857141	5.797619047619048	p
TAG (52:2) 14:1_18:0_20:1		0.10142857142857141	5.797619047619048	p
TAG (52:2) 14:1_18:1_20:0		0.10142857142857141	5.797619047619048	p
TAG (52:2) 16:0_16:1_20:1		0.10142857142857141	5.797619047619048	p
TAG (52:2) 16:0_18:1_18:1		0.10142857142857141	5.797619047619048	p
TAG (52:2) 16:1_16:1_20:0		0.10142857142857141	5.797619047619048	p
TAG (52:2) 16:1_18:1_18:0		0.10142857142857141	5.797619047619048	p
TAG (52:3) 14:1_18:1_20:1			10.38	p
TAG (52:3) 16:1_16:1_20:1			10.38	p
TAG (54:2) 14:0_20:1_20:1			2.363333333333333	p
TAG (54:2) 14:1_20:1_20:0			2.363333333333333	p
TAG (54:2) 16:0_18:1_20:1			2.363333333333333	p
TAG (54:2) 16:1_18:0_20:1			2.363333333333333	p
TAG (54:2) 16:1_18:1_20:0			2.363333333333333	p
TAG (54:2) 18:1_18:1_18:0			2.363333333333333	p
TAG (54:3) 14:1_20:1_20:1			3.4522222222222223	p
TAG (54:3) 16:1_18:1_20:1			3.4522222222222223	p
TAG (54:3) 18:1_18:1_18:1			3.4522222222222223	p
TAG 54:6	4.393333333333334	15.365555555555568	6.420000000000002	T
TAG 56:6	1.733333333333333	17.28333333333333	5.076666666666668	T
